,stock_number,sharpe_ratio,total_return,test_mse_loss,股票名稱,202301成交金額(千),202302成交金額(千),202303成交金額(千),202304成交金額(千),202305成交金額(千),202306成交金額(千),202307成交金額(千),202308成交金額(千),202309成交金額(千),202310成交金額(千),202311成交金額(千),202312成交金額(千)
4,1213,6.305223040093493,11.029601232992444,0.0002146738979718,大飲,696.0,1335.0,4569.0,6146.0,3404.0,3665.0,2446.0,1531.0,3864.0,3076.0,2650.0,25962.0
6,2443,6.04454520330901,7.506336179110601,0.0004115570836802,昶虹,2787.0,6341.0,6759.0,62076.0,26657.0,19426.0,13254.0,7275.0,7791.0,15624.0,18502.0,156771.0
7,3149,6.00819341974236,4.62870555771304,0.000535082670467,正達,85164.0,158060.0,193871.0,332671.0,345178.0,173736.0,366794.0,159340.0,386186.0,126070.0,519551.0,397208.0
8,2399,5.935834044986473,5.060473289932203,0.0006555508334713,映泰,428288.0,940471.0,1309075.0,314956.0,3344487.0,4783770.0,7065406.0,2332437.0,1556959.0,2575334.0,1782665.0,4038110.0
10,5701,5.824139232517816,3.146341252881519,0.0003966143394791,劍湖山,10047.0,153994.0,66247.0,26454.0,33560.0,65932.0,31009.0,19381.0,10192.0,6826.0,7627.0,8654.0
21,6156,5.352853956878207,3.599061124697199,0.0008947515707404,松上,38098.0,93463.0,184927.0,756217.0,195709.0,138733.0,542401.0,795520.0,389384.0,1668274.0,1798461.0,1492227.0
63,3664,4.581701514007514,4.785855648913692,0.0009229908391716,安瑞-KY,23402.0,122658.0,411427.0,516791.0,854639.0,425888.0,186348.0,130814.0,46027.0,72114.0,38738.0,43773.0
64,2424,4.575067218101783,6.613956175795921,0.000800246014478,隴華,8410.0,16818.0,24425.0,15038.0,147698.0,146577.0,186199.0,40480.0,20368.0,23107.0,26332.0,5528.0
78,2243,4.503812509519479,4.427004014951849,0.0003378663350304,宏旭-KY,79932.0,484306.0,1516042.0,243163.0,110026.0,61704.0,67980.0,78606.0,95744.0,88070.0,175793.0,206494.0
130,3552,4.183789248612005,3.2276932784911083,0.0002468966995365,同致,1957623.0,4216887.0,8661232.0,1940035.0,1613836.0,1976891.0,1283607.0,791118.0,1121655.0,1149348.0,1390509.0,1387854.0
