,stock_number,sharpe_ratio,total_return,test_mse_loss,股票名稱,2024產業名稱
0,1213,4.668843224109062,4.66253724889817,0.0002146738979718,大飲,食品工業
1,2424,2.9183074703993808,2.448996453019929,0.000800246014478,隴華,電子–通信網路
4,2443,2.9416326236932284,1.8285590885018912,0.0004115570836802,昶虹,其他
5,8454,2.624569425110156,1.6966286155677537,0.0018079812853102,富邦媒,數位雲端
7,4609,2.7453782692658057,1.6144394533052924,0.0001700864904705,唐鋒,居家生活
8,5345,2.4825171347556334,1.5647583447550892,0.000400404102038,天揚,其他
9,2399,2.973036590622676,1.4991399695648218,0.0006555508334713,映泰,電子–電腦及週邊設備
11,3665,3.161696666265758,1.4316108017449647,0.0040347854956053,貿聯-KY,電子–其他電子
12,6482,2.388752425531376,1.4015494404863624,0.0008863618531904,弘煜科,文化創意
13,6411,2.794649932328616,1.3931082550159228,0.0024761089516687,晶焱,電子–半導體
14,2460,2.81154035894432,1.3072791483183073,0.0037421611996251,建通,電子–電子零組件
15,2440,2.7589406412958937,1.2919021649923874,0.0042432800401002,太空梭,電子–電子零組件
19,2345,2.6102597083285968,1.2537881621002955,0.0019562745437724,智邦,電子–通信網路
22,2454,2.7685409779631187,1.1657411246531375,0.003330643827212,聯發科,電子–半導體
23,6465,1.870392581579705,1.139449305431793,0.0003034144956473,威潤,電子–通信網路
24,5432,2.0464462699485764,1.1378965760561597,0.0016102718000183,新門,電子–光電
25,2243,1.99258519511657,1.1240509375988927,0.0003378663350304,宏旭-KY,汽車工業
26,5701,2.961912573318452,1.0904879426479803,0.0003966143394791,劍湖山,觀光餐旅
27,5443,2.8989272645135555,1.0799707307504018,0.0010030980229203,均豪,電子–光電
28,1786,2.646864179678593,1.0691884440311945,0.0008215378293243,科妍,生技醫療
30,3047,2.3520966863026005,1.0297305955299194,0.0035211534850532,訊舟,電子–通信網路
31,5465,2.7925856413845134,1.026969678739902,0.0005681393977283,富驊,電子–電腦及週邊設備
32,2235,2.823032497112173,1.003622033199938,0.0001717024624667,謚源,電機機械
33,3059,2.450257185780965,0.9992791663022116,0.002521936155972,華晶科,電子–光電
35,3684,2.554377217355785,0.9615020237978552,0.0045721822971245,榮昌,電子–通信網路
36,1319,2.552617438645573,0.9560534775257143,0.0012686537984336,東陽,汽車工業
37,2923,2.5891566168019056,0.9484682333810676,0.0024033930531004,鼎固-KY,建材營建
39,3594,2.108618863027262,0.9298227230130778,0.0039136532432166,磐儀,電子–電腦及週邊設備
40,8111,2.234771783729289,0.9224222655296028,0.0033576396563148,立碁,電子–光電
42,3149,2.059699355155382,0.9172420020721752,0.000535082670467,正達,電子–光電
44,4183,2.586533555910417,0.8933964742693246,0.0004385821839605,福永生技,生技醫療
47,3306,2.009312330046185,0.8730819372584924,0.0018961179885081,鼎天,電子–通信網路
48,2207,3.672884657797388,0.8705750675398016,0.0007539841244579,和泰車,汽車工業
49,5425,1.930554441299072,0.8677146346583129,0.0033986805501626,台半,電子–半導體
50,6221,2.612196376788742,0.8547680404727379,0.0035885643155779,晉泰,電子–資訊服務
52,4430,3.420506600892205,0.8205163140502043,0.0004977843609594,耀億,其他
53,6246,2.302903226342349,0.8134631513096292,0.0002064961827272,臺龍,電子–光電
54,4721,1.9632368177906572,0.809197677082016,0.0016225394210778,美琪瑪,化學工業
55,3018,2.3991050071474844,0.8077816295314553,0.0001289585520031,隆銘綠能,電子–其他電子
56,6197,2.7923332021321863,0.8042017170554814,0.0033555130212334,佳必琪,電子–電子零組件
58,4111,2.8531530525528748,0.7974739646713269,0.0031179741399682,濟生,生技醫療
60,3025,1.7777902488633657,0.7807896579164395,0.0037005788235546,星通,電子–通信網路
61,2374,2.1934452642107427,0.7784479875031309,0.001555164293677,佳能,電子–光電
62,2409,2.2204953082404644,0.7720453648686137,0.0044957409045309,友達,電子–光電
63,2428,2.3197810648635158,0.7654138609960023,0.0029738716984866,興勤,電子–電子零組件
64,9906,2.359437439067999,0.7498986247930963,0.0015643595070287,欣巴巴,建材營建
65,1455,2.62793543086742,0.740019929356535,0.0046678893213538,集盛,紡織纖維
66,5906,2.313322445369763,0.7355078852562713,0.0003219784930479,台南-KY,貿易百貨
67,3520,1.507996054120412,0.7276882877986495,0.0005320607678243,華盈,電子–電子零組件
68,4968,1.5852863874580776,0.7212766086265304,0.0009095756540773,立積,電子–半導體
69,3555,1.5193396363530651,0.7195054151270187,0.0003077587780353,博士旺,電子–半導體
71,1590,1.958373273359227,0.7150437142584383,0.0042734611706691,亞德客-KY,電機機械
72,3570,3.243574093796509,0.7148310262082709,0.0008195021819119,大塚,電子–資訊服務
73,8086,1.7248458466382757,0.71418566150306,0.0009986188051698,宏捷科,電子–半導體
74,6431,1.6802971020741817,0.7049412486304044,0.0014311385093606,光麗-KY,生技醫療
76,5348,1.5526251861485627,0.6984749524113926,0.0025668342714197,正能量智能,電子–通信網路
77,5489,2.373947227763771,0.6830535641959716,0.0010498961892153,彩富,電子–其他電子
78,6222,1.9070815211154868,0.6636714781805781,0.0030111330006548,上揚,電子–光電
